Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
61,10,2,111,4,Some Random Commen with Id 61
62,10,2,148,5,Some Random Commen with Id 62
63,10,2,34,8,Some Random Commen with Id 63
64,10,2,87,5,Some Random Commen with Id 64
65,10,2,1,8,Some Random Commen with Id 65
66,10,2,169,1,Some Random Commen with Id 66
67,10,2,26,8,Some Random Commen with Id 67
68,10,2,111,3,Some Random Commen with Id 68
69,11,9,82,4,Some Random Commen with Id 69
70,11,9,86,2,Some Random Commen with Id 70
71,11,9,198,8,Some Random Commen with Id 71
72,13,5,163,9,Some Random Commen with Id 72
73,13,5,79,1,Some Random Commen with Id 73
74,13,5,189,3,Some Random Commen with Id 74
75,13,5,140,8,Some Random Commen with Id 75
76,14,5,182,7,Some Random Commen with Id 76
77,14,5,63,7,Some Random Commen with Id 77
78,15,4,90,7,Some Random Commen with Id 78
79,16,0,126,7,Some Random Commen with Id 79
80,16,0,14,7,Some Random Commen with Id 80
81,16,0,173,2,Some Random Commen with Id 81
82,16,0,164,9,Some Random Commen with Id 82
83,16,0,157,9,Some Random Commen with Id 83
84,16,0,140,7,Some Random Commen with Id 84
85,16,0,53,3,Some Random Commen with Id 85
86,16,0,182,0,Some Random Commen with Id 86
87,16,0,58,1,Some Random Commen with Id 87
88,17,6,32,2,Some Random Commen with Id 88
89,17,6,5,7,Some Random Commen with Id 89
90,17,6,180,4,Some Random Commen with Id 90
91,17,6,196,4,Some Random Commen with Id 91
92,17,6,62,2,Some Random Commen with Id 92
93,17,6,95,3,Some Random Commen with Id 93
94,18,8,35,6,Some Random Commen with Id 94
95,18,8,1,6,Some Random Commen with Id 95
96,18,8,125,7,Some Random Commen with Id 96
97,18,8,156,7,Some Random Commen with Id 97
98,19,3,117,5,Some Random Commen with Id 98
99,19,3,57,1,Some Random Commen with Id 99
100,19,3,138,8,Some Random Commen with Id 100
101,20,4,168,9,Some Random Commen with Id 101
102,20,4,81,1,Some Random Commen with Id 102
103,21,5,127,4,Some Random Commen with Id 103
104,22,0,122,3,Some Random Commen with Id 104
105,22,0,6,7,Some Random Commen with Id 105
106,22,0,143,3,Some Random Commen with Id 106
107,22,0,46,4,Some Random Commen with Id 107
108,23,9,41,8,Some Random Commen with Id 108
109,23,9,122,7,Some Random Commen with Id 109
110,23,9,23,1,Some Random Commen with Id 110
111,24,2,145,7,Some Random Commen with Id 111
112,24,2,108,4,Some Random Commen with Id 112
113,24,2,123,2,Some Random Commen with Id 113
114,24,2,85,1,Some Random Commen with Id 114
115,24,2,182,4,Some Random Commen with Id 115
116,24,2,91,4,Some Random Commen with Id 116
117,25,9,38,1,Some Random Commen with Id 117
118,25,9,186,4,Some Random Commen with Id 118
119,25,9,77,2,Some Random Commen with Id 119
120,25,9,160,1,Some Random Commen with Id 120
121,25,9,15,5,Some Random Commen with Id 121
122,25,9,71,5,Some Random Commen with Id 122
123,26,8,135,9,Some Random Commen with Id 123
124,26,8,146,6,Some Random Commen with Id 124
125,26,8,186,6,Some Random Commen with Id 125
126,26,8,37,1,Some Random Commen with Id 126
127,27,6,6,4,Some Random Commen with Id 127
128,27,6,115,0,Some Random Commen with Id 128
129,27,6,124,4,Some Random Commen with Id 129
130,27,6,84,3,Some Random Commen with Id 130
131,27,6,63,7,Some Random Commen with Id 131
132,28,4,48,1,Some Random Commen with Id 132
133,28,4,116,6,Some Random Commen with Id 133
134,28,4,95,1,Some Random Commen with Id 134
135,28,4,139,0,Some Random Commen with Id 135
136,28,4,197,0,Some Random Commen with Id 136
137,29,2,120,1,Some Random Commen with Id 137
138,30,2,5,0,Some Random Commen with Id 138
139,31,9,47,6,Some Random Commen with Id 139
140,32,1,53,9,Some Random Commen with Id 140
141,32,1,161,9,Some Random Commen with Id 141
142,32,1,178,6,Some Random Commen with Id 142
143,32,1,179,7,Some Random Commen with Id 143
144,32,1,118,7,Some Random Commen with Id 144
145,32,1,101,2,Some Random Commen with Id 145
146,32,1,34,1,Some Random Commen with Id 146
147,32,1,105,3,Some Random Commen with Id 147
148,32,1,145,0,Some Random Commen with Id 148
149,33,6,18,5,Some Random Commen with Id 149
150,33,6,133,5,Some Random Commen with Id 150
151,33,6,1,2,Some Random Commen with Id 151
152,34,8,197,9,Some Random Commen with Id 152
153,34,8,32,3,Some Random Commen with Id 153
154,34,8,4,2,Some Random Commen with Id 154
155,34,8,47,2,Some Random Commen with Id 155
156,34,8,83,8,Some Random Commen with Id 156
157,36,8,199,1,Some Random Commen with Id 157
158,36,8,12,9,Some Random Commen with Id 158
159,36,8,165,3,Some Random Commen with Id 159
160,36,8,28,3,Some Random Commen with Id 160
161,36,8,102,3,Some Random Commen with Id 161
162,36,8,131,2,Some Random Commen with Id 162
163,37,1,94,9,Some Random Commen with Id 163
164,37,1,9,2,Some Random Commen with Id 164
165,37,1,91,1,Some Random Commen with Id 165
166,37,1,80,5,Some Random Commen with Id 166
167,37,1,60,1,Some Random Commen with Id 167
168,37,1,88,9,Some Random Commen with Id 168
169,37,1,69,3,Some Random Commen with Id 169
170,37,1,48,0,Some Random Commen with Id 170
171,38,2,182,1,Some Random Commen with Id 171
172,38,2,136,1,Some Random Commen with Id 172
173,38,2,90,6,Some Random Commen with Id 173
174,38,2,130,2,Some Random Commen with Id 174
175,38,2,143,3,Some Random Commen with Id 175
176,39,3,44,8,Some Random Commen with Id 176
177,39,3,14,2,Some Random Commen with Id 177
